,시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
3619,다올약국,반려동물업,반려의료,동물약국,서울특별시,강남구,역삼동,,708-37 번지,선릉로,427 번,37.5030603,127.049315,6212.0,서울특별시 강남구 선릉로 427,서울특별시 강남구 역삼동 708-37,02-565-9285,정보없음,"매주 일요일, 법정공휴일","월~금 10:00~20:30, 토 10:00~17:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
3626,다운이엔지,반려동물업,반려동물 서비스,반려동물용품,서울특별시,금천구,시흥동,,984 번지,시흥대로,97 번,37.44468212,126.901072,8639.0,서울특별시 금천구 시흥대로 97,서울특별시 금천구 시흥동 984,070-8819-1057,http://dauneng.modoo.at/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,제한사항 없음,Y,N,반려동물용품 제작,없음,2022-11-30
3628,다움동물병원,반려동물업,반려의료,동물병원,서울특별시,영등포구,신길동,,324-49 번지,가마산로,449-1 번,37.5058079,126.906297,7383.0,서울특별시 영등포구 가마산로 449-1,서울특별시 영등포구 신길동 324-49,02-831-0075,https://blog.naver.com/daumanimal,연중무휴,"월~금 10:00~21:00, 토~일 10:00~19:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
3639,다이소 가락시장역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,송파구,가락동,,79-3 번지,중대로,109 번,37.49384242,127.120479,5718.0,서울특별시 송파구 중대로 109,서울특별시 송파구 가락동 79-3,02-406-6016,http://www.daiso.co.kr/,연중무휴,매일 09:30~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3640,다이소 가양역2호점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강서구,등촌동,,628-3 번지,화곡로,418 번,37.56035479,126.855218,7548.0,서울특별시 강서구 화곡로 418,서울특별시 강서구 등촌동 628-3,02-2658-6001,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3641,다이소 가좌역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,서대문구,남가좌동,,291-6 번지,수색로,26 번,37.5691638,126.915753,3712.0,서울특별시 서대문구 수색로 26,서울특별시 서대문구 남가좌동 291-6,02-303-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3649,다이소 강남고속버스터미널점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,서초구,반포동,,19-4 번지,신반포로,194 번,37.50643574,127.006834,6545.0,서울특별시 서초구 신반포로 194,서울특별시 서초구 반포동 19-4,02-533-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3650,다이소 강남구청역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,삼성동,,111-44 번지,학동로,346 번,37.51718924,127.041301,6099.0,서울특별시 강남구 학동로 지하 346,서울특별시 강남구 삼성동 111-44,02-515-6016,http://www.daiso.co.kr/,"매주 토,일",월~금 09:00~18:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3651,다이소 강남본점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,역삼동,,826-24 번지,강남대로,372 번,37.49603503,127.02907,6241.0,서울특별시 강남구 강남대로 372,서울특별시 강남구 역삼동 826-24,02-539-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:30,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3652,다이소 강남세곡점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,세곡동,,613 번지,헌릉로569길,21 번,37.46639901,127.100156,6376.0,서울특별시 강남구 헌릉로569길 21-36,서울특별시 강남구 세곡동 613,02-445-4102,http://www.daiso.co.kr/,연중무휴,매일 09:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3653,다이소 강남역2호점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,역삼동,,822-4 번지,테헤란로,109 번,37.49882537,127.028992,6134.0,서울특별시 강남구 테헤란로 109,서울특별시 강남구 역삼동 822-4,02-3452-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3662,다이소 강북구청사거리점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강북구,수유동,,174-17 번지,한천로,1038 번,37.64018014,127.027026,1054.0,서울특별시 강북구 한천로 1038,서울특별시 강북구 수유동 174-17,02-900-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3667,다이소 개봉역남부점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,구로구,개봉동,,203-7 번지,남부순환로97길,3 번,37.49399577,126.858255,8328.0,서울특별시 구로구 남부순환로97길 3,서울특별시 구로구 개봉동 203-7,02-2612-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3668,다이소 개봉역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,구로구,개봉동,,181-5 번지,경인로40길,41 번,37.49502637,126.859029,8276.0,서울특별시 구로구 경인로40길 41,서울특별시 구로구 개봉동 181-5,02-2611-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3676,다이소 건대입구점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,광진구,화양동,,7-44 번지,아차산로,225 번,37.54091808,127.068481,5018.0,서울특별시 광진구 아차산로 225,서울특별시 광진구 화양동 7-44,02-464-6016,http://www.daiso.co.kr/,"설, 추석 당일 휴무",매일 09:30~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3681,다이소 경기마트정릉점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,성북구,길음동,,1286 번지,길음로9길,50 번,37.60269651,127.020948,2721.0,서울특별시 성북구 길음로9길 50,서울특별시 성북구 길음동 1286,02-942-6500,https://www.daiso.co.kr/,연중무휴,매일 09:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3687,다이소 경동시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,동대문구,제기동,,1054-1 번지,고산자로,441 번,37.578962,127.038005,2570.0,서울특별시 동대문구 고산자로 441,서울특별시 동대문구 제기동 1054-1,0507-1488-1012,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3688,다이소 경복궁역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,종로구,적선동,,107-1 번지,사직로,125 번,37.57616399,126.972854,3044.0,서울특별시 종로구 사직로 125,서울특별시 종로구 적선동 107-1,02-733-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3718,다이소 고덕점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강동구,명일동,,47-6 번지,동남로75길,13 번,37.5539247,127.155515,5269.0,서울특별시 강동구 동남로75길 13-7,서울특별시 강동구 명일동 47-6,02-3426-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3728,다이소 고척동점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,구로구,고척동,,50-48 번지,중앙로,64 번,37.50379925,126.862834,8218.0,서울특별시 구로구 중앙로 64,서울특별시 구로구 고척동 50-48,02-2689-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3732,다이소 공릉점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,노원구,공릉동,,388-34 번지,동일로192길,29 번,37.62645319,127.074507,1841.0,서울특별시 노원구 동일로192길 29,서울특별시 노원구 공릉동 388-34,02-976-0006,http://www.daiso.co.kr/,연중무휴,매일 09:30~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3736,다이소 관악농산물백화점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,관악구,신림동,,1668 번지,남부순환로,1369 번,37.48012907,126.902897,8768.0,서울특별시 관악구 남부순환로 1369,서울특별시 관악구 신림동 1668,02-837-8850,http://www.daiso.co.kr/,연중무휴,매일 09:00~21:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3737,다이소 관악식자재마트점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,관악구,봉천동,,1729 번지,청림3길,10 번,37.48865052,126.959506,8731.0,서울특별시 관악구 청림3길 10,서울특별시 관악구 봉천동 1729,1522-4400,https://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3775,다이소 교대역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,서초구,서초동,,1674-4 번지,서초대로,320 번,37.49422002,127.016576,6633.0,서울특별시 서초구 서초대로 320,서울특별시 서초구 서초동 1674-4,02-532-6001,https://www.daiso.co.kr/,연중무휴,매일 09:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3778,다이소 구로구청점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,구로구,구로동,,103-12 번지,가마산로,263 번,37.49592261,126.889426,8301.0,서울특별시 구로구 가마산로 263,서울특별시 구로구 구로동 103-12,02-858-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~21:30,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3779,다이소 구로디지털2호점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,구로구,구로동,,1125-9 번지,시흥대로,557 번,37.48298724,126.901045,8391.0,서울특별시 구로구 시흥대로 557,서울특별시 구로구 구로동 1125-9,02-851-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3780,다이소 구로시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,구로구,구로동,,764-254 번지,구로동로26길,82 번,37.49001283,126.888666,8313.0,서울특별시 구로구 구로동로26길 82,서울특별시 구로구 구로동 764-254,02-863-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3802,다이소 구산역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,은평구,갈현동,,468-2 번지,서오릉로,156 번,37.612277,126.916017,3336.0,서울특별시 은평구 서오릉로 156,서울특별시 은평구 갈현동 468-2,02-353-7001,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3803,다이소 구의역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,광진구,자양동,,216-10 번지,아차산로,378 번,37.53653959,127.084729,5051.0,서울특별시 광진구 아차산로 378,서울특별시 광진구 자양동 216-10,02-454-6010,http://www.daiso.co.kr/,연중무휴,매일 09:30~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3810,다이소 군자역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,광진구,능동,,276-2 번지,천호대로,556 번,37.55673393,127.079702,4985.0,서울특별시 광진구 천호대로 556,서울특별시 광진구 능동 276-2,02-456-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3819,다이소 금호금남시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,성동구,금호4가동,,572 번지,독서당로,292 번,37.54788511,127.021545,4737.0,서울특별시 성동구 독서당로 292,서울특별시 성동구 금호동4가 572,02-2298-6015,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3820,다이소 길동점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강동구,길동,,366-5 번지,양재대로,1490 번,37.53881783,127.14065,5343.0,서울특별시 강동구 양재대로 1490,서울특별시 강동구 길동 366-5,02-474-6016,http://www.daiso.co.kr/,연중무휴,매일 09:30~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3842,다이소 까치산2호점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강서구,화곡동,,342-55 번지,강서로,34 번,37.53099372,126.847443,7760.0,서울특별시 강서구 강서로 34,서울특별시 강서구 화곡동 342-55,02-2697-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3847,다이소 낙성대점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,관악구,봉천동,,1656-10 번지,남부순환로,1960 번,37.475703,126.966301,8793.0,서울특별시 관악구 남부순환로 1960,서울특별시 관악구 봉천동 1656-10,02-883-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3848,다이소 난곡사거리점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,관악구,신림동,,1474-23 번지,남부순환로,1474 번,37.48145951,126.914207,8771.0,서울특별시 관악구 남부순환로 1474,서울특별시 관악구 신림동 1474-23,02-867-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3850,다이소 남부터미널점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,서초구,서초동,,1603-7 번지,서초중앙로,36 번,37.48556823,127.016209,6643.0,서울특별시 서초구 서초중앙로 36,서울특별시 서초구 서초동 1603-7,02-521-8498,https://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3851,다이소 남성역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,동작구,사당동,,257-27 번지,사당로17가길,16 번,37.48401429,126.973057,7004.0,서울특별시 동작구 사당로17가길 16,서울특별시 동작구 사당동 257-27,0507-1301-5473,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3855,다이소 남영역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,용산구,갈월동,,93-30 번지,한강대로77길,12 번,37.54220897,126.971894,4321.0,서울특별시 용산구 한강대로77길 12,서울특별시 용산구 갈월동 93-30,02-702-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3860,다이소 내방역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,서초구,방배동,,936-1 번지,서초대로24길,3 번,37.48727818,126.993206,6672.0,서울특별시 서초구 서초대로24길 3,서울특별시 서초구 방배동 936-1,02-584-6019,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3862,다이소 노원문화의거리점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,노원구,상계동,,617 번지,노해로79길,6 번,37.65549793,127.062451,1695.0,서울특별시 노원구 노해로79길 6-19,서울특별시 노원구 상계동 617,02-935-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3863,다이소 노원본점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,노원구,상계동,,728-2 번지,동일로,1392 번,37.65305379,127.061325,1751.0,서울특별시 노원구 동일로 1392,서울특별시 노원구 상계동 728-2,02-930-5031,https://www.daiso.co.kr/,"설, 추석 당일 휴무",매일 10:00~22:30,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3873,다이소 답십리점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,성동구,용답동,,62-2 번지,천호대로,308 번,37.56522486,127.054234,4804.0,서울특별시 성동구 천호대로 308,서울특별시 성동구 용답동 62-2,02-3394-6015,http://www.daiso.co.kr/,"설, 추석 당일 휴무",매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3874,다이소 당고개역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,노원구,상계동,,72-8 번지,덕릉로126길,2 번,37.67018924,127.081494,1644.0,서울특별시 노원구 덕릉로126길 2,서울특별시 노원구 상계동 72-8,02-933-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3875,다이소 당산점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,영등포구,당산2동,,16-1 번지,양평로,49 번,37.53410713,126.900991,7213.0,서울특별시 영등포구 양평로 49,서울특별시 영등포구 당산동5가 16-1,02-3667-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3928,다이소 대림2호점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,영등포구,대림동,,710-12 번지,도림로,157 번,37.49456951,126.899021,7413.0,서울특별시 영등포구 도림로 157,서울특별시 영등포구 대림동 710-12,02-834-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3929,다이소 대림사거리점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,동작구,신대방동,,607-62 번지,시흥대로,654 번,37.49004668,126.907889,7069.0,서울특별시 동작구 시흥대로 654-1,서울특별시 동작구 신대방동 607-62,02-848-0719,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3930,다이소 대림썬프라자점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,영등포구,대림동,,909-2 번지,신길로,39 번,37.49596657,126.907785,7440.0,서울특별시 영등포구 신길로 39,서울특별시 영등포구 대림동 909-2,02-836-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3931,다이소 대방남부점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,동작구,대방동,,341-2 번지,노량진로,4 번,37.51241243,126.92624,6938.0,서울특별시 동작구 노량진로 4,서울특별시 동작구 대방동 341-2,02-3280-6019,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3932,다이소 대방점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,동작구,대방동,,389-14 번지,여의대방로,190 번,37.50382839,126.922181,6945.0,서울특별시 동작구 여의대방로 190,서울특별시 동작구 대방동 389-14,02-824-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3933,다이소 대신시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,영등포구,신길동,,110-5 번지,도신로,235 번,37.51249375,126.916946,7316.0,서울특별시 영등포구 도신로 235,서울특별시 영등포구 신길동 110-5,02-831-2135,https://www.daisomall.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3972,다이소 대지시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강북구,미아동,,701-1 번지,솔샘로,239 번,37.62004297,127.019442,1189.0,서울특별시 강북구 솔샘로 239,서울특별시 강북구 미아동 701-1,02-988-6016,https://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3973,다이소 대치본점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,대치동,,940-3 번지,도곡로,435 번,37.49858616,127.057707,6208.0,서울특별시 강남구 도곡로 435,서울특별시 강남구 대치동 940-3,02-564-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3974,다이소 대치역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,대치동,,623 번지,남부순환로,2921 번,37.49349436,127.059773,6280.0,서울특별시 강남구 남부순환로 2921,서울특별시 강남구 대치동 623,02-558-6016,http://www.daiso.co.kr/,연중무휴,매일 09:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3975,다이소 대학로점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,종로구,혜화동,,180 번지,대학로,140 번,37.58359327,127.001947,3084.0,서울특별시 종로구 대학로 140,서울특별시 종로구 혜화동 180,02-747-6016,http://www.daiso.co.kr/,연중무휴,매일 09:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3977,다이소 덕성여대점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,도봉구,쌍문동,,423-2 번지,삼양로,538 번,37.65127809,127.013317,1368.0,서울특별시 도봉구 삼양로 538-5,서울특별시 도봉구 쌍문동 423-2,02-998-4812,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3979,다이소 도곡점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강남구,도곡동,,544-2 번지,도곡로,188 번,37.49182097,127.04002,6261.0,서울특별시 강남구 도곡로 188,서울특별시 강남구 도곡동 544-2,02-529-6016,https://www.daiso.co.kr/,연중무휴,매일 09:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3981,다이소 도봉점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,도봉구,도봉동,,611-26 번지,도봉로153길,30 번,37.67005144,127.041712,1349.0,서울특별시 도봉구 도봉로153길 30,서울특별시 도봉구 도봉동 611-26,02-955-3527,http://www.daiso.co.kr/,"설, 추석 당일 휴무",매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3982,다이소 독산점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,금천구,독산동,,289-8 번지,시흥대로,403 번,37.46980866,126.897489,8523.0,서울특별시 금천구 시흥대로 403,서울특별시 금천구 독산동 289-8,02-864-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3986,다이소 동대문점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,종로구,창신동,,440-10 번지,율곡로,309 번,37.57027743,127.009978,3119.0,서울특별시 종로구 율곡로 309,서울특별시 종로구 창신동 440-10,02-741-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3987,다이소 동덕여대점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,성북구,하월곡동,,18-50 번지,장월로1길,113 번,37.60415597,127.042805,2752.0,서울특별시 성북구 장월로1길 113,서울특별시 성북구 하월곡동 18-50,070-8846-0877,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3989,다이소 동묘점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,종로구,숭인동,,76 번지,종로,347 번,37.57405626,127.016,3113.0,서울특별시 종로구 종로 347,서울특별시 종로구 숭인동 76,02-766-6016,https://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3990,다이소 동부시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,중랑구,상봉동,,130 번지,망우로,212 번,37.59371997,127.076228,2120.0,서울특별시 중랑구 망우로 212,서울특별시 중랑구 상봉동 130,070-4100-3320,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3991,다이소 동서울터미널점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,광진구,구의동,,546-1 번지,강변역로,50 번,37.53453851,127.094184,5116.0,서울특별시 광진구 강변역로 50,서울특별시 광진구 구의동 546-1,02-446-6016,http://www.daiso.co.kr/,연중무휴,매일 09:30~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3998,다이소 둔촌동역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강동구,성내동,,428-5 번지,양재대로,1355 번,37.52739525,127.135616,5404.0,서울특별시 강동구 양재대로 1355,서울특별시 강동구 성내동 428-5,02-471-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
3999,다이소 등촌시장점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,양천구,목동,,617-4 번지,목동중앙북로,16 번,37.54824911,126.865523,7950.0,서울특별시 양천구 목동중앙북로 16-1,서울특별시 양천구 목동 617-4,02-2651-6016,https://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
4000,다이소 라붐아울렛관악점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,관악구,봉천동,,862-1 번지,남부순환로,1820 번,37.480948,126.952084,8787.0,서울특별시 관악구 남부순환로 1820,서울특별시 관악구 봉천동 862-1,02-871-6016,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
4030,다이소 롯데마트삼양점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,강북구,미아동,,1359 번지,삼양로,247 번,37.62551826,127.017747,1110.0,서울특별시 강북구 삼양로 247,서울특별시 강북구 미아동 1359,1522-4400,http://www.daiso.co.kr/,연중무휴,매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
4035,다이소 롯데마트서울역점,반려동물업,반려동물 서비스,반려동물용품,서울특별시,중구,회현동,,122-11 번지,한강대로,405 번,37.55472785,126.969526,4509.0,서울특별시 중구 한강대로 405,서울특별시 중구 봉래동2가 122-11,1522-4400,http://www.daiso.co.kr/,"2, 4째주 일요일",매일 10:00~22:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,강아지용품,없음,2022-11-30
